fish_id	month	origin	length	mass	body_depth	kidney_depth	KB_ratio	qPCR_ddCt	qPCR_sqrt	haematocrit	leukocrit	lymphocyte_count	monocyte_count	granulocyte_count	thrombocyte_count	lymphocyte_concentration_sqrt	monocyte_concentration_sqrt	granulocyte_concentration_sqrt	thrombocyte_concentration_sqrt	SMR_1	SMR_2	SMR_3	MMR_1	MMR_2	MMR_3	SMR_mean	MMR_mean	AS	SMR_std	MMR_std	AS_std	UTT_trial	UTT_temperature	UTT_rank	UTT_degree_sec	UTT_degree_sec_centered
1	july	mustoja	49	0.95	4.54	0.49	0.107929515418502	0.0271703849	0.164834416612551	0.3278251599	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07518723415147e-07	1.10611265520824e-07	1.09345213589791e-07	5.82184108820546e-07	5.402478373482e-07	NA	1.09158400841921e-07	5.61215973084373e-07	4.52057572242452e-07	1.02069173364622e-07	4.65401669955426e-07	3.58874073246971e-07	NA	NA	NA	NA	NA
2	july	mustoja	50.5	1.25	4.7	1.24	0.263829787234043	0.2839405957	0.532860765772824	0.2121495327	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13224122105011e-07	1.07614412395519e-07	1.0958035276982e-07	5.3501745625648e-07	5.34679692710864e-07	NA	1.10139629090117e-07	5.34848574483672e-07	4.24708945393555e-07	8.14020607857869e-08	3.64800949695013e-07	2.81348489673528e-07	NA	NA	NA	NA	NA
6	july	mustoja	54	1.4	4.74	0.72	0.151898734177215	0.1189029549	0.344823077678974	0.2852628592	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.88417821464654e-07	1.91148533498814e-07	1.81694910150162e-07	5.57844867723423e-07	6.23869984917742e-07	NA	1.8708708837121e-07	5.90857426320583e-07	4.03770337949373e-07	1.25474237970158e-07	3.71757379287017e-07	2.48217115468629e-07	NA	NA	NA	NA	NA
8	july	vainupea	51	1.1	4.68	0.49	0.104700854700855	8.51148890785032e-06	0.00291744561352055	0.2948407732	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22361270846094e-07	1.26893450476785e-07	1.25914934331389e-07	6.52284194893639e-07	7.39007960070911e-07	6.49922068993869e-07	1.25056551884756e-07	6.80404741319473e-07	5.55348189434717e-07	1.03128318531322e-07	5.083073745371e-07	4.00247253926596e-07	NA	NA	NA	NA	NA
9	july	vainupea	42	0.45	3.54	0.35	0.0988700564971751	0.1659849588	0.407412516744393	0.2916666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.89753293623204e-08	8.80325849105684e-08	9.95977170188561e-08	3.382635487301e-07	3.96631931003407e-07	3.19831428012214e-07	8.55352104305816e-08	3.5157563591524e-07	2.66040425484659e-07	1.51738657997486e-07	4.9636534969811e-07	3.45691332100228e-07	NA	NA	NA	NA	NA
10	july	vainupea	64	3.35	6.49	0.72	0.110939907550077	9.12281671820962e-06	0.00302040009240657	0.3454037764	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.80993247724769e-07	3.0415576809694e-07	2.50685114815186e-07	1.44497128654397e-06	1.46052254702696e-06	1.35231169283286e-06	2.78611376878965e-07	1.41926850880126e-06	1.1406571319223e-06	8.84644398580533e-08	4.79749288033318e-07	3.94441994615386e-07	NA	NA	NA	NA	NA
11	july	vainupea	44	0.65	3.75	0.37	0.0986666666666667	0.1976916795	0.444625324852285	0.2781186094	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02204629476319e-07	7.69245489892488e-08	9.19947157524652e-08	4.57827026502009e-07	3.94561181829369e-07	4.36058133711423e-07	9.0374631406011e-08	4.29482114014267e-07	3.39107482608256e-07	1.16985046794386e-07	4.66664311609944e-07	3.45753526161502e-07	NA	NA	NA	NA	NA
12	july	vainupea	54.5	1.6	5.15	0.61	0.118446601941748	0.0683428421	0.261424639427886	0.266313933	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.37230021034017e-07	1.98400514508772e-07	2.44889629254852e-07	7.40817846303638e-07	8.28110603813908e-07	8.57208189650665e-07	2.26840054932547e-07	8.0871221325607e-07	5.81872158323523e-07	1.35684422038244e-07	4.62673643469303e-07	3.27554243496218e-07	NA	NA	NA	NA	NA
13	july	vainupea	52	2.2	5.49	0.76	0.138433515482696	8.51148890785032e-06	0.00291744561352055	0.2741121067	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1772807068789e-07	3.06142311345562e-07	2.98820469314951e-07	1.02766716406059e-06	1.02568197314483e-06	1.04487215199721e-06	3.07563617116134e-07	1.03274042973421e-06	7.25176812618076e-07	1.40028500332407e-07	4.70962584108432e-07	3.30901351160418e-07	NA	NA	NA	NA	NA
14	july	vainupea	52.5	1.25	5.17	0.45	0.0870406189555126	0.2980648838	0.545953188286322	0.3312865497	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89261496744457e-07	1.96891368533494e-07	2.10344799702015e-07	8.0165993919817e-07	8.25218375698537e-07	8.00650291919583e-07	1.98832554993322e-07	8.09176202272097e-07	6.10343647278775e-07	1.46953279772867e-07	5.51909944500519e-07	4.04322219266168e-07	NA	NA	NA	NA	NA
